14010,france,versailles,111 versailles way,louis xiv,france,ooo,
13940,India,NOIDA,Wishtown,Lalchand,Uttar Pradesh,201301,
13937,United States,Plano,3001 com,Ahmed Fattouh,Texas,77777,
13934,United States,San Francisco,12 Sitcom,Scott Mat,California,75111,
13942,India,mumbai,andheri,sachin,maharastra,123456,
13946,India,blr,77 kempanna,Avinash,karnataka,122001,
13943,India,DEHRADUN,Bhaniyawala\, Dehradun,yashvi rawat,Uttarakhand,248140
13944,,new,st-1,viru,,,
13949,Test1,Test2,Test1,Test1,Test1,Test1,
13978,US,New York,Street,Third time,Don't remember,94111,
13964,CA LI BA QUE,DIT ME MAY,DAU BUOI,Free,EZ VCL,123000,
13976,United States,Big Apple,35 Street Name,New Name,Same as before,94111,
13928,United States,Indianapolis,1111 Ash Street,JMS Tester,Indiana,44444,
13952,India,NOIDA,sector-134\,,Lalchand,Uttar Pradesh,201301
13931,,a,a,a,,,
13935,USA,Houston,1234 DB,DB Mule,Texas,77001,
13961,Unired states,Plano,100 com,Mule Test200,Texas,77777,
13980,Canada,Burnaby,7777 Royal Oak Ave,Hans,BC,6969,
13966,United States,Plano,1000 com,Mule Fattouh Test,Texas,99991,
13969,Japan,koto-ku 3-4-43,Grandesta 330,Maxwell Mule,Tokyo,1360075,
13954,India,ghaziabad,sect-9,viru,Uttar Pradesh,123456,
13974,United States,San Francisco,77 Geary Street,Max Mule,California,94111,
13968,Donk,Donkville,Donk St,Donk2,Donkaria,1234,
13967,United States,Plano,100 parkway,Fattouh Test,Texas,99991,
13935,USA,Houston,1234 DB,DB Mule,Texas,77001,
13934,United States,San Francisco,12 Sitcom,Scott Mat,California,75111,
13976,United States,Big Apple,35 Street Name,New Name,Same as before,94111,
13973,India,Bengaluru,Bengaluru,Santosh,Karnataka,560091,
13949,Test1,Test2,Test1,Test1,Test1,Test1,
13971,Philippines,San Pedro,Brgy. Langgam,Jayson Acero,Laguna,4023,
13969,Japan,koto-ku 3-4-43,Grandesta 330,Maxwell Mule,Tokyo,1360075,
13928,United States,Indianapolis,1111 Ash Street,JMS Tester,Indiana,44444,
13942,India,mumbai,andheri,sachin,maharastra,123456,
13946,India,blr,77 kempanna,Avinash,karnataka,122001,
13989,US,mississuaga,abc,Free,on,l5,
13944,,new,st-1,viru,,,
14006,ireland,london,dub,dublin,na,3455,
13980,Canada,Burnaby,7777 Royal Oak Ave,Hans,BC,6969,
13962,United States,Plano,100 Parkway,Amir Fattouh,Texas,11111,
13966,United States,Plano,1000 com,Mule Fattouh Test,Texas,99991,
13951,India,NOIDA,Wishtown,Lalchand,Uttar Pradesh,201301,
13961,Unired states,Plano,100 com,Mule Test200,Texas,77777,
13931,,a,a,a,,,
14032,United States,Plano,1000 Comm,Fattouh B.,Texas,76666,
14045,Ireland,Dublin,Mayfield,AV2,Ireland,D6W,
13930,India,Hyderbad,Kond,Kamal,Telangana,500081,
14025,sale5,sale3,sale2,sale1,sale4,14022,
13965,United States,Plano,1000 com,Mule Fattouh Test,Texas,99991,
13986,US,mississuaga,abc,Jyoo,on,l5,
13963,Australia,Donkville,100 Test Street,Donk Test,Donkaria,1234,
13981,US,Seatle,3838 King,james,WA,6969,
14104,country cm,city cm,street cm,cm-test,state cm,postal cm,
13952,India,NOIDA,sector-134\,,Lalchand,Uttar Pradesh,201301
14105,cmg country,cmg city,cmg street,cmg test2,cmg state,cmg postal ,
14013,USA,St.Louis,100 main st,00001111Buckingham,MO,63301,
14093,India,Nagpur,Dhaba road,Rajesh1,MH,440013,
14010,france,versailles,111 versailles way,louis xiv,france,ooo,
13959,india,npet,tirumala,abc,ap,532081,
13937,United States,Plano,3001 com,Ahmed Fattouh,Texas,77777,
13954,India,ghaziabad,sect-9,viru,Uttar Pradesh,123456,
13960,United States,Plano,100 com,Mule Test100,Texas,77777,
13979,USA,Easton,100 main st,00001111crayola,PA,10101,
14031,India,Pune,Pune,Tes2,Maharashtra,411057,
13943,India,DEHRADUN,Bhaniyawala\, Dehradun,yashvi rawat,Uttarakhand,248140
13974,United States,San Francisco,77 Geary Street,Max Mule,California,94111,
14007,nj6,nj3,nj2,nj1,nj4,nj5,
14043,Netherlands,ons dorp,dorpstraat 8,jan puk,,94111,
13970,Japan,koto-ku 3-4-43,Grandesta 330,Maxwell Mule,Tokyo,94111,
13958,united states,Plano ,12 comm st,Mule Test,Texas,77777,
13940,India,NOIDA,Wishtown,Lalchand,Uttar Pradesh,201301,
13991,US,mississuaga,abc,Test1,on,l5,
14003,test5,test2,test1,test,test3,test4,
13964,CA LI BA QUE,DIT ME MAY,DAU BUOI,Free,EZ VCL,123000,
13983,India,GURUGRAM,565,hi,Haryana,122002,
13999,dsffsdfsf,sssss,,asdsad,,94333,
14000,FRANCE,le verger,RUE DU HUIT,VARAULE,BREATAGNE,35160,
13972,netherlands,ons dorp,dorpstraat ,pietje,,1000aa,
14033,USA,Plano,1000 Comm,B. Fattouh,Texas,76666,
13968,Donk,Donkville,Donk St,Donk2,Donkaria,1234,
13978,US,New York,Street,Third time,Don't remember,94111,
14052,India,Dekhi,77 Grey Street,Mule Max,Delhi,411057,
14054,India,Delhi,gs,Mule,Delhi,411057,
